	pointcc
0	8.61731978554866450E-1 / 1.19863310294410550E2


	pointch
0	1.13406796830673470E-1 / -6.77675753151132640E1


	pointco
0	1.05296066214500410E0 / -6.30437115158311730E1


Y	X	pointCor[0][0, ::]
0.00000000000000000E0	5.79999999999999980E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	5.90000000000000040E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	6.00000000000000000E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	6.09999999999999960E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	6.20000000000000020E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	6.29999999999999980E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	6.40000000000000040E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	6.50000000000000000E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	6.59999999999999960E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	6.70000000000000020E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	6.79999999999999980E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	6.90000000000000040E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	7.00000000000000000E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	7.09999999999999960E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	7.20000000000000020E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	7.29999999999999980E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	7.40000000000000040E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	7.50000000000000000E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	7.59999999999999960E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	7.70000000000000020E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	7.79999999999999980E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	7.90000000000000040E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	8.00000000000000000E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	8.09999999999999960E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	8.19999999999999930E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	8.30000000000000070E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	8.40000000000000040E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	8.50000000000000000E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	8.59999999999999960E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	8.69999999999999930E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	8.80000000000000070E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	8.90000000000000040E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	9.00000000000000000E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	9.09999999999999960E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	9.19999999999999930E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	9.30000000000000070E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	9.40000000000000040E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	9.50000000000000000E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	9.59999999999999960E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	9.69999999999999930E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	9.80000000000000070E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	9.90000000000000040E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	1.00000000000000000E2	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	1.01000000000000000E2	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	1.02000000000000000E2	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	1.03000000000000000E2	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	1.04000000000000000E2	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	1.05000000000000000E2	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	1.06000000000000010E2	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	1.06999999999999980E2	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	1.08000000000000010E2	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	1.09000000000000010E2	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	1.10000000000000010E2	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	1.10999999999999990E2	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	1.11999999999999990E2	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	1.13000000000000010E2	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	1.14000000000000010E2	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	1.14999999999999990E2	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	1.15999999999999990E2	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	1.16999999999999990E2	0.00000000000000000E0 / 0.00000000000000000E0
